Date,Open,High,Low,Close,Adj Close,Volume
1/2/18,170.160004,172.300003,169.259995,172.259995,166.804016,25555900
1/3/18,172.529999,174.550003,171.960007,172.229996,166.774963,29517900
1/4/18,172.539993,173.470001,172.080002,173.029999,167.549622,22434600
1/5/18,173.440002,175.369995,173.050003,175,169.457214,23660000
1/8/18,174.350006,175.610001,173.929993,174.350006,168.82782,20567800
1/9/18,174.550003,175.059998,173.410004,174.330002,168.808456,21584000
1/10/18,173.160004,174.300003,173,174.289993,168.769714,23959900
1/11/18,174.589996,175.490005,174.490005,175.279999,169.728378,18667700
1/12/18,176.179993,177.360001,175.649994,177.089996,171.481064,25418100
1/16/18,177.899994,179.389999,176.139999,176.190002,170.609558,29565900
1/17/18,176.149994,179.25,175.070007,179.100006,173.427399,34386800
1/18/18,179.369995,180.100006,178.25,179.259995,173.582321,31193400
1/19/18,178.610001,179.580002,177.410004,178.460007,172.807663,32425100
1/22/18,177.300003,177.779999,176.600006,177,171.393921,27108600
1/23/18,177.300003,179.440002,176.820007,177.039993,171.432632,32689100
1/24/18,177.25,177.300003,173.199997,174.220001,168.70195,51105100
1/25/18,174.509995,174.949997,170.529999,171.110001,165.690445,41529000
1/26/18,172,172,170.059998,171.509995,166.077759,39143000
1/29/18,170.160004,170.160004,167.070007,167.960007,162.640213,50640400
1/30/18,165.529999,167.369995,164.699997,166.970001,161.68158,46048200
1/31/18,166.869995,168.440002,166.5,167.429993,162.127014,32478900
2/1/18,167.169998,168.619995,166.759995,167.779999,162.465912,47230800
2/2/18,166,166.800003,160.100006,160.5,155.416519,86593800
2/5/18,159.100006,163.880005,156,156.490005,151.533508,72738500
2/6/18,154.830002,163.720001,154,163.029999,157.866333,68243800
2/7/18,163.089996,163.399994,159.070007,159.539993,154.486877,51608600
2/8/18,160.289993,161,155.029999,155.149994,150.235947,54390500
2/9/18,157.070007,157.889999,150.240005,156.410004,152.073547,70672600
2/12/18,158.5,163.889999,157.509995,162.710007,158.198883,60819500
2/13/18,161.949997,164.75,161.649994,164.339996,159.783676,32549200
2/14/18,163.039993,167.539993,162.880005,167.369995,162.729675,40644900
2/15/18,169.789993,173.089996,169,172.990005,168.193878,51147200
2/16/18,172.360001,174.820007,171.770004,172.429993,167.649399,40176100
2/20/18,172.050003,174.259995,171.419998,171.850006,167.08548,33930500
2/21/18,172.830002,174.119995,171.009995,171.070007,166.327103,37471600
2/22/18,171.800003,173.949997,171.710007,172.5,167.717453,30991900
2/23/18,173.669998,175.649994,173.539993,175.5,170.634277,33812400
2/26/18,176.350006,179.389999,176.210007,178.970001,174.008057,38162200
2/27/18,179.100006,180.479996,178.160004,178.389999,173.444168,38928100
2/28/18,179.259995,180.619995,178.050003,178.119995,173.181656,37782100
3/1/18,178.539993,179.779999,172.660004,175,170.148117,48802000
3/2/18,172.800003,176.300003,172.449997,176.210007,171.3246,38454000
3/5/18,175.210007,177.740005,174.520004,176.820007,171.917709,28401400
3/6/18,177.910004,178.25,176.130005,176.669998,171.771851,23788500
3/7/18,174.940002,175.850006,174.270004,175.029999,170.177322,31703500
3/8/18,175.479996,177.119995,175.070007,176.940002,172.034363,23774100
3/9/18,177.960007,180,177.389999,179.979996,174.990051,32185200
3/12/18,180.289993,182.389999,180.210007,181.720001,176.681824,32207100
3/13/18,182.589996,183.5,179.240005,179.970001,174.980347,31693500
3/14/18,180.320007,180.520004,177.809998,178.440002,173.492752,29368400
3/15/18,178.5,180.240005,178.070007,178.649994,173.69693,22743800
3/16/18,178.649994,179.119995,177.619995,178.020004,173.084427,39404700
3/19/18,177.320007,177.470001,173.660004,175.300003,170.439835,33446800
3/20/18,175.240005,176.800003,174.940002,175.240005,170.3815,19649400
3/21/18,175.039993,175.089996,171.259995,171.270004,166.521561,37054900
3/22/18,170,172.679993,168.600006,168.850006,164.168655,41490800
3/23/18,168.389999,169.919998,164.940002,164.940002,160.367035,41028800
3/26/18,168.070007,173.100006,166.440002,172.770004,167.979996,37541200
3/27/18,173.679993,175.149994,166.919998,168.339996,163.672775,40922600
3/28/18,167.25,170.020004,165.190002,166.479996,161.864365,41668500
3/29/18,167.809998,171.75,166.899994,167.779999,163.128311,38398500
4/2/18,166.639999,168.940002,164.470001,166.679993,162.058807,37586800
4/3/18,167.639999,168.75,164.880005,168.389999,163.72142,30278000
4/4/18,164.880005,172.009995,164.770004,171.610001,166.852142,34605500
4/5/18,172.580002,174.229996,172.080002,172.800003,168.009125,26933200
4/6/18,170.970001,172.479996,168.199997,168.380005,163.7117,35005300
4/9/18,169.880005,173.089996,169.850006,170.050003,165.335388,29017700
4/10/18,173,174,171.529999,173.25,168.446671,28408600
4/11/18,172.229996,173.919998,171.699997,172.440002,167.659119,22431600
4/12/18,173.410004,175,173.039993,174.139999,169.311996,22889300
4/13/18,174.779999,175.839996,173.850006,174.729996,169.885605,25124300
4/16/18,175.029999,176.190002,174.830002,175.820007,170.945419,21578400
4/17/18,176.490005,178.940002,176.410004,178.240005,173.298309,26605400
4/18/18,177.809998,178.820007,176.880005,177.839996,172.909393,20754500
4/19/18,173.759995,175.389999,172.660004,172.800003,168.009125,34808800
4/20/18,170.600006,171.220001,165.429993,165.720001,161.125412,65491100
4/23/18,166.830002,166.919998,164.089996,165.240005,160.658752,36515500
4/24/18,165.669998,166.330002,161.220001,162.940002,158.422516,33692000
4/25/18,162.619995,165.419998,162.410004,163.649994,159.112808,28382100
4/26/18,164.119995,165.729996,163.369995,164.220001,159.667007,27963000
4/27/18,164,164.330002,160.630005,162.320007,157.819687,35655800
